JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Rudarsko-geološko-naftni Zbornik,"Faculty of Mining, Geology and Petroleum Engineering",Croatia,No,NA,DOI,1989,"Croatian, English",Peer review,Yes,12,CC BY,TRUE,Yes
"Atti della Accademia Peloritana dei Pericolanti : Classe di Scienze Fisiche, Matematiche e Naturali",Accademia Peloritana dei Pericolanti,Italy,No,NA,DOI,2004,"English, Italian",Peer review,NA,31,CC BY,TRUE,Yes
South African Journal of Physiotherapy,AOSIS,South Africa,Yes,NA,DOI,2002,English,Double blind peer review,Yes,30,CC BY,TRUE,Yes
South African Journal of Communication Disorders,AOSIS,South Africa,Yes,Yes,DOI,2010,English,Double blind peer review,Yes,30,CC BY,TRUE,Yes
Curationis,AOSIS,South Africa,Yes,Yes,DOI,1978,English,Double blind peer review,Yes,19,CC BY,TRUE,Yes
Acta Palaeontologica Polonica,Institute of Paleobiology PAS,Poland,Yes,Yes,DOI,1956,English,Peer review,Yes,16,CC BY,TRUE,Yes
Revista Chilena de Historia Natural,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Biological Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
Electronic Journal of Biotechnology,Elsevier,Netherlands,Yes,Yes,DOI,2014,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Nordlit: Tidsskrift i litteratur og kultur ,Septentrio Academic Publishing,Norway,No,NA,DOI,2008,"English, Norwegian",Double blind peer review,Yes,10,CC BY,TRUE,Yes
Active and Passive Electronic Components,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1985,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
HPB Surgery,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1988,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
Journal of Epidemiology,Japan Epidemiological Association,Japan,Yes,Yes,DOI,1991,English,Blind peer review,NA,32,CC BY,TRUE,Yes
European Review of Latin American and Caribbean Studies,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,2003,"English, Spanish; Castilian",Peer review,NA,16,CC BY,TRUE,Yes
Merkourios,Ubiquity Press,United Kingdom,No,NA,DOI,2010,English,Double blind peer review,Yes,11,CC BY,TRUE,Yes
Veterinary Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
Behavioural Neurology ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1988,English,Blind peer review,Yes,34,CC BY,TRUE,Yes
Mediators of Inflammation,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1992,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Papers from the Institute of Archaeology,Ubiquity Press,United Kingdom,Yes,Yes,DOI,1990,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
Occupational Therapy International,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Annales Geophysicae,Copernicus Publications,Germany,Yes,Yes,DOI,1996,English,Peer review,Yes,28,CC BY,TRUE,Yes
Genetics Selection Evolution,BioMed Central,United Kingdom,Yes,Yes,DOI,1989,"English, French, German",Blind peer review,Yes,26,CC BY,TRUE,Yes
Chinese Journal of Cancer,BioMed Central,United Kingdom,No,NA,DOI,2014,English,Peer review,Yes,12,CC BY,TRUE,Yes
Journal for the Study of Religion,Association for the Study of Religion in Southern Africa,South Africa,Yes,NA,DOI,2008,English,Double blind peer review,NA,12,CC BY-NC-ND,TRUE,Yes
Pythagoras,AOSIS,South Africa,Yes,NA,DOI,2004,English,Double blind peer review,Yes,20,CC BY,TRUE,Yes
In die Skriflig,AOSIS,South Africa,Yes,Yes,DOI,1966,"Afrikaans, English",Double blind peer review,Yes,11,CC BY,TRUE,Yes
Journal of the South African Veterinary Association,AOSIS,South Africa,Yes,Yes,DOI,1997,English,Double blind peer review,Yes,22,CC BY,TRUE,Yes
Journal of Biomedical Science,BioMed Central,United Kingdom,No,NA,DOI,2009,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Nonlinear Processes in Geophysics,Copernicus Publications,Germany,Yes,Yes,DOI,1994,English,Peer review,Yes,33,CC BY,TRUE,Yes
International Journal of Rotating Machinery,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1994,English,Blind peer review,Yes,25,CC BY,TRUE,Yes
Mathematical Problems in Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1995,English,Blind peer review,Yes,26,CC BY,TRUE,Yes
Discrete Dynamics in Nature and Society,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1997,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
South African Journal of Radiology,AOSIS,South Africa,No,NA,DOI,2004,English,Double blind peer review,Yes,16,CC BY,TRUE,Yes
Hydrology and Earth System Sciences,Copernicus Publications,Germany,Yes,Yes,DOI,1997,English,Peer review,Yes,40,CC BY,TRUE,Yes
Journal of Inequalities and Applications,Springer,United Kingdom,Yes,Yes,DOI,2005,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of High Energy Physics,Springer,Germany,No,NA,DOI,2014,English,Blind peer review,NA,12,CC BY,TRUE,Yes
Scientific Programming ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1992,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Bulletin of the History of Archaeology,Ubiquity Press,United Kingdom,Yes,Yes,DOI,1991,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Infectious Diseases in Obstetrics and Gynecology,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1993,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
VLSI Design,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1993,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Diagnostic and Therapeutic Endoscopy,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
Journal of Hymenoptera Research,Pensoft Publishers,Bulgaria,Yes,NA,DOI,2011,English,Blind peer review,NA,6,CC BY,TRUE,Yes
Shock and Vibration,Hindawi Limited,United Kingdom,Yes,NA,DOI,1993,English,Blind peer review,Yes,43,CC BY,TRUE,Yes
Bolivian Studies Journal,"University Library System, University of Pittsburgh",United States,No,NA,DOI,2010,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,TRUE,Yes
Molecular Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Journal of World-Systems Research,"University Library System, University of Pittsburgh",United States,No,NA,DOI,1995,English,Double blind peer review,NA,30,CC BY,TRUE,Yes
Complexity,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
Journal of Orthoptera Research,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2017,English,Blind peer review,NA,12,CC BY,TRUE,Yes
Abstract and Applied Analysis,Hindawi Limited,United Kingdom,Yes,NA,DOI,1996,English,Blind peer review,Yes,27,CC BY,TRUE,Yes
Journal of Cardiovascular Magnetic Resonance,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Physical Review Special Topics. Accelerators and Beams,American Physical Society,United States,No,NA,DOI,1998,English,Peer review,Yes,23,CC BY,TRUE,Yes
Entropy,MDPI AG,Switzerland,Yes,NA,DOI,1999,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
International Journal of Photoenergy,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1999,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Journal of Applied Mathematics,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
European Journal of Histochemistry ,PAGEPress Publications,Italy,Yes,Yes,DOI,2010,English,Blind peer review,Yes,6,CC BY-NC,TRUE,Yes
Cromohs. Cyber Review of Modern Historiography,Firenze University Press,Italy,No,NA,DOI,1996,"English, Italian",Double blind peer review,NA,24,CC BY,TRUE,Yes
Italian Journal of Agronomy,PAGEPress Publications,Italy,Yes,Yes,DOI,2006,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Scrineum Rivista,Firenze University Press,Italy,No,NA,DOI,2003,Italian,Double blind peer review,NA,22,CC BY,TRUE,Yes
The Journal of Headache and Pain,Springer,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Applied Bionics and Biomechanics ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2003,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Canadian Respiratory Journal ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1994,English,Blind peer review,Yes,38,CC BY,TRUE,Yes
Pain Research and Management,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1996,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Acta Universitatis Palackianae Olomucensis. Gymnica,Palacky University,Czech Republic,No,NA,DOI,2005,English,Double blind peer review,NA,17,CC BY,TRUE,Yes
Studia Universitatis Babes-Bolyai: Geologia,Cluj University Press,Romania,No,NA,DOI,2007,English,Blind peer review,Yes,31,CC BY-NC,TRUE,Yes
PhytoKeys,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2010,English,Peer review,NA,6,CC BY,TRUE,Yes
NeoBiota,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2011,English,Peer review,NA,6,CC BY,TRUE,Yes
Nature Conservation,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2012,English,Peer review,NA,6,CC BY,TRUE,Yes
Environmental Health and Preventive Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
"Earth, Planets and Space",Springer,Germany,Yes,Yes,DOI,2014,English,Blind peer review,Yes,29,CC BY,TRUE,Yes
Tropical Medicine and Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Sarcoma,Hindawi Limited,United Kingdom,Yes,Yes,DOI,1997,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Internet Archaeology,University of York,United Kingdom,Yes,NA,DOI,2014,English,Double blind peer review,Yes,16,CC BY,TRUE,Yes
Journal of Interactive Media in Education,Ubiquity Press,United Kingdom,No,NA,DOI,1996,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
TS.> Tijdschrift voor Tijdschrift­studies,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,1997,"Dutch; Flemish, English",Double blind peer review,NA,16,CC BY,TRUE,Yes
Journal of Special Education and Rehabilitation,"Faculty of Philosophy, Institute of Special Education and Rehabilitation","Macedonia, the Former Yugoslav Republic of",No,NA,DOI,1997,"English, Macedonian",Double blind peer review,Yes,12,CC BY,TRUE,Yes
Molecules,MDPI AG,Switzerland,Yes,NA,DOI,1997,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Molbank,MDPI AG,Switzerland,Yes,NA,DOI,2002,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Diversity,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Pharmaceuticals,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Cellular & Molecular Biology Letters ,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Living Reviews in Relativity,Springer,Germany,No,NA,DOI,1998,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
European Physical Journal C: Particles and Fields,Springer,Germany,No,NA,DOI,2014,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Zoosystematics and Evolution,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2014,English,Peer review,NA,16,CC BY,TRUE,Yes
Deutsche Entomologische Zeitschrift,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2014,English,Peer review,NA,12,CC BY,TRUE,Yes
Liber Quarterly: The Journal of European Research Libraries,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,1999,English,Double blind peer review,NA,6,CC BY,TRUE,Yes
Helgoland Marine Research,BioMed Central,United Kingdom,No,NA,DOI,2016,English,Blind peer review,Yes,3,CC BY,TRUE,Yes
Forum: Qualitative Social Research,FQS ,Germany,No,NA,URN,2000,"English, German, Spanish; Castilian",Double blind peer review,NA,20,CC BY,TRUE,Yes
The Journal of Global Positioning Systems,Springer,United Kingdom,No,NA,DOI,2016,English,Double blind peer review,NA,5,CC BY,TRUE,Yes
Cultural Studies Review,UTS ePRESS,Australia,No,NA,DOI,2010,English,Double blind peer review,Yes,52,CC BY,TRUE,Yes
Asia Pacific Family Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,33,CC BY,TRUE,Yes
PORTAL: Journal of Multidisciplinary International Studies,UTS ePRESS,Australia,No,NA,DOI,2004,English,Double blind peer review,Yes,52,CC BY,TRUE,Yes
Australasian Journal of Information Systems,Australasian Association for Information Systems,Australia,No,NA,DOI,1993,English,Double blind peer review,Yes,20,CC BY-NC,TRUE,Yes
Archaeology International,Ubiquity Press,United Kingdom,Yes,Yes,DOI,1997,English,Blind peer review,NA,11,CC BY,TRUE,Yes
Breast Cancer Research ,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Peer review,Yes,12,CC BY,TRUE,Yes
Respiratory Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Geochemical Transactions,Springer,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,28,CC BY,TRUE,Yes
Geofluids,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
BMC Biochemistry,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
BMC Bioinformatics,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
BMC Cell Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
BMC Developmental Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
BMC Evolutionary Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
BMC Genetics,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
BMC Genomics,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
BMC Immunology,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
BMC Microbiology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
BMC Molecular Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
BMC Neuroscience,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
BMC Plant Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
BMC Anesthesiology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,24,CC BY,TRUE,Yes
BMC Cardiovascular Disorders,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,19,CC BY,TRUE,Yes
BMC Emergency Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,29,CC BY,TRUE,Yes
BMC Medical Research Methodology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC Family Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Open peer review,Yes,18,CC BY,TRUE,Yes
BMC Gastroenterology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,22,CC BY,TRUE,Yes
BMC Geriatrics,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,20,CC BY,TRUE,Yes
BMC Infectious Diseases,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,21,CC BY,TRUE,Yes
BMC Medical Imaging,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,27,CC BY,TRUE,Yes
BMC Medical Genetics,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Open peer review,Yes,22,CC BY,TRUE,Yes
BMC Nephrology,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Open peer review,Yes,20,CC BY,TRUE,Yes
BMC Neurology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,19,CC BY,TRUE,Yes
BMC Pregnancy and Childbirth,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,21,CC BY,TRUE,Yes
BMC Cancer,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,19,CC BY,TRUE,Yes
BMC Ophthalmology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,24,CC BY,TRUE,Yes
BMC Pediatrics,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,21,CC BY,TRUE,Yes
BMC Psychiatry,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,20,CC BY,TRUE,Yes
BMC Public Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,18,CC BY,TRUE,Yes
BMC Pulmonary Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC Musculoskeletal Disorders,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Open peer review,Yes,19,CC BY,TRUE,Yes
BMC Surgery,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,24,CC BY,TRUE,Yes
BMC Urology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,21,CC BY,TRUE,Yes
BMC Dermatology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
Archaea ,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
BMC Biotechnology,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
BMC Chemical Biology,BioMed Central,NA,NA,NA,,2001,NA,NA,NA,NA,CC BY,NA,Yes
BMC Ecology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,22,CC BY,TRUE,Yes
BMC Physiology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
BMC Structural Biology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
"BMC Ear, Nose and Throat Disorders",BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC Endocrine Disorders,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC Oral Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,22,CC BY,TRUE,Yes
BMC Palliative Care,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Open peer review,Yes,21,CC BY,TRUE,Yes
BMC Women's Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,24,CC BY,TRUE,Yes
BMC Complementary and Alternative Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,19,CC BY,TRUE,Yes
BMC Clinical Pathology,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,24,CC BY,TRUE,Yes
BMC Medical Education,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,24,CC BY,TRUE,Yes
BMC Medical Ethics,BioMed Central,United Kingdom,Yes,Yes,DOI,2000,English,Open peer review,Yes,25,CC BY,TRUE,Yes
BMC Medical Informatics and Decision Making,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC Nursing,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Open peer review,Yes,30,CC BY,TRUE,Yes
BMC Health Services Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,23,CC BY,TRUE,Yes
BMC International Health and Human Rights,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Open peer review,Yes,28,CC BY,TRUE,Yes
Genome Biology,BioMed Central,United Kingdom,Yes,NA,DOI,2000,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Cardiovascular Diabetology,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
Microbial Cell Factories,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Cancer Cell International,BioMed Central,United Kingdom,Yes,Yes,DOI,2001,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Malaria Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Nutrition Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2002,English,Open peer review,Yes,21,CC BY,TRUE,Yes
